#ndep: 2897
#depth (km)   Rho_arithmetic (g/cm^3)   Rho_geometric (g/cm^3)
   205.0           3.4265E+00              3.4265E+00
   206.0           3.4272E+00              3.4272E+00
   207.0           3.4280E+00              3.4280E+00
   208.0           3.4287E+00              3.4287E+00
   209.0           3.4295E+00              3.4295E+00
   210.0           3.4302E+00              3.4302E+00
   211.0           3.4309E+00              3.4309E+00
   212.0           3.4317E+00              3.4317E+00
   213.0           3.4324E+00              3.4324E+00
   214.0           3.4331E+00              3.4331E+00
   215.0           3.4338E+00              3.4338E+00
   216.0           3.4345E+00              3.4345E+00
   217.0           3.4352E+00              3.4352E+00
   218.0           3.4359E+00              3.4359E+00
   219.0           3.4366E+00              3.4366E+00
   220.0           3.4373E+00              3.4373E+00
   221.0           3.4380E+00              3.4380E+00
   222.0           3.4387E+00              3.4387E+00
   223.0           3.4394E+00              3.4394E+00
   224.0           3.4400E+00              3.4400E+00
   225.0           3.4407E+00              3.4407E+00
   226.0           3.4414E+00              3.4414E+00
   227.0           3.4420E+00              3.4420E+00
   228.0           3.4427E+00              3.4427E+00
   229.0           3.4434E+00              3.4434E+00
   230.0           3.4440E+00              3.4440E+00
   231.0           3.4447E+00              3.4447E+00
   232.0           3.4453E+00              3.4453E+00
   233.0           3.4459E+00              3.4459E+00
   234.0           3.4466E+00              3.4466E+00
   235.0           3.4472E+00              3.4472E+00
   236.0           3.4479E+00              3.4479E+00
   237.0           3.4485E+00              3.4485E+00
   238.0           3.4491E+00              3.4491E+00
   239.0           3.4498E+00              3.4497E+00
   240.0           3.4504E+00              3.4504E+00
   241.0           3.4510E+00              3.4510E+00
   242.0           3.4516E+00              3.4516E+00
   243.0           3.4522E+00              3.4522E+00
   244.0           3.4528E+00              3.4528E+00
   245.0           3.4535E+00              3.4535E+00
   246.0           3.4541E+00              3.4541E+00
   247.0           3.4547E+00              3.4547E+00
   248.0           3.4553E+00              3.4553E+00
   249.0           3.4559E+00              3.4559E+00
   250.0           3.4565E+00              3.4565E+00
   251.0           3.4571E+00              3.4571E+00
   252.0           3.4577E+00              3.4577E+00
   253.0           3.4583E+00              3.4583E+00
   254.0           3.4589E+00              3.4589E+00
   255.0           3.4595E+00              3.4595E+00
   256.0           3.4601E+00              3.4601E+00
   257.0           3.4607E+00              3.4607E+00
   258.0           3.4613E+00              3.4613E+00
   259.0           3.4618E+00              3.4618E+00
   260.0           3.4624E+00              3.4624E+00
   261.0           3.4630E+00              3.4630E+00
   262.0           3.4636E+00              3.4636E+00
   263.0           3.4642E+00              3.4642E+00
   264.0           3.4648E+00              3.4648E+00
   265.0           3.4654E+00              3.4654E+00
